text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe in you.",FALSE,799643,POTUS44,1/20/2017 14:13,FALSE,8.22446E+17,8.22447E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,343968,FALSE,FALSE,NA,NA
"As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUxlpLVue.",FALSE,206709,POTUS44,1/20/2017 14:11,FALSE,8.22446E+17,8.22446E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,57896,FALSE,FALSE,NA,NA
"I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love.",FALSE,609842,POTUS44,1/20/2017 14:09,FALSE,8.22446E+17,8.22446E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,220332,FALSE,FALSE,NA,NA
It's been the honor of my life to serve you. You made me a better leader and a better man.,FALSE,1648704,NA,1/20/2017 14:09,FALSE,NA,8.22446E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,638521,FALSE,FALSE,NA,NA
"Proud to make this one of my final actions as President. America is a nation of second chances, and 1,715 people de… https://t.co/vZLJa9SweM",FALSE,232848,NA,1/19/2017 20:39,TRUE,NA,8.22182E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,69469,FALSE,FALSE,NA,NA
"To the girl from the South Side who took on a role she didn't ask for and made it her own: Happy Birthday, Michelle… https://t.co/cFWec1RQN0",FALSE,1210044,NA,1/17/2017 14:59,TRUE,NA,8.21371E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,358352,FALSE,FALSE,NA,NA
"From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub",FALSE,92895,NA,1/17/2017 0:10,FALSE,NA,8.21148E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,16896,FALSE,FALSE,NA,NA
"In honor of their legacy, @FLOTUS and I are joining Americans across the country in a day of service to our community here in D.C. #MLKDay",FALSE,68313,POTUS44,1/16/2017 19:50,FALSE,8.21082E+17,8.21082E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,11617,FALSE,FALSE,NA,NA
"Dr. King and those who marched with him proved that people who love their country can change it. As Americans, we all owe them a great deal.",FALSE,220230,NA,1/16/2017 19:49,FALSE,NA,8.21082E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,70753,FALSE,FALSE,NA,NA
"That is out of this world. Thanks, @NASA. https://t.co/R8CSjAwt2E",FALSE,181540,NA,1/12/2017 23:57,FALSE,NA,8.19695E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,46761,FALSE,FALSE,NA,NA
"Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but in yours.",FALSE,1871678,NA,1/11/2017 4:52,FALSE,NA,8.19044E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,882801,FALSE,FALSE,NA,NA
It’s been the privilege of my life to serve as your President. I look forward to standing with you as a citizen. Happy New Year everybody.,FALSE,874296,POTUS44,1/1/2017 17:00,FALSE,8.15603E+17,8.15604E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,268305,FALSE,FALSE,NA,NA
"From realizing marriage equality to removing barriers to opportunity, we've made history in our work to reaffirm that all are created equal.",FALSE,207084,POTUS44,1/1/2017 16:59,FALSE,8.15602E+17,8.15603E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,55263,FALSE,FALSE,NA,NA
We brought home more of our troops &amp; strengthened U.S. leadership—leading with diplomacy &amp; partnering with nations to meet global problems.,FALSE,79256,POTUS44,1/1/2017 16:53,FALSE,8.15602E+17,8.15602E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,18472,FALSE,FALSE,NA,NA
"We traded foreign oil for clean energy, we doubled fuel efficiency standards, &amp; we acted on a global scale to save… https://t.co/U2n4myQUkV",FALSE,68481,POTUS44,1/1/2017 16:52,TRUE,8.15601E+17,8.15602E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,19791,FALSE,FALSE,NA,NA
"After decades of rising health care costs, today nearly every American now has access to the financial security of… https://t.co/P9VEPIE3Ab",FALSE,60357,POTUS44,1/1/2017 16:51,TRUE,8.15601E+17,8.15601E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,17936,FALSE,FALSE,NA,NA
"Facing the worst financial crisis in 80 years, you delivered the longest streak of job growth in our history. https://t.co/Vk3PfRgZqF",FALSE,80958,POTUS44,1/1/2017 16:49,FALSE,8.15601E+17,8.15601E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,26975,FALSE,FALSE,NA,NA
"As we look ahead to the future, I wanted to take a moment to look back on the remarkable progress that you made possible these past 8 years.",FALSE,228267,NA,1/1/2017 16:48,FALSE,NA,8.15601E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,51942,FALSE,FALSE,NA,NA
"The best part of the holidays is the time we share with those we love. On behalf of Michelle, Malia, and Sasha, Mer… https://t.co/AOai9bJYlg",FALSE,413246,NA,12/25/2016 16:30,TRUE,NA,8.13059E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,110225,FALSE,FALSE,NA,NA
A ban on drilling in Arctic waters helps protect the planet we share. Proud to take this step with @JustinTrudeau &amp;… https://t.co/cDbN6inXRy,FALSE,89941,NA,12/20/2016 21:56,TRUE,NA,8.11329E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,27687,FALSE,FALSE,NA,NA
"The Justice for All bill is a bipartisan step in making our criminal justice system fairer, smarter, and more effective. Proud to sign it.",FALSE,37939,NA,12/16/2016 23:13,FALSE,NA,8.09899E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,6715,FALSE,FALSE,NA,NA
"The suits said it all – colorful, fun, a little outlandish. That’s what sports should be. Thanks, Craig Sager.  We'll all miss you.",FALSE,52751,NA,12/16/2016 17:00,FALSE,NA,8.09805E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,11551,FALSE,FALSE,NA,NA
"In signing the Cures Act into law, we're one step closer to breakthroughs on the greatest health challenges of our… https://t.co/LhyahsK0sJ",FALSE,52013,NA,12/13/2016 22:56,TRUE,NA,8.08808E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,11530,FALSE,FALSE,NA,NA
Great to see so many investors come together to work towards a clean energy future. It's a smart investment and it'… https://t.co/aqGx2t7QAZ,FALSE,49802,NA,12/13/2016 3:15,TRUE,NA,8.08511E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,12805,FALSE,FALSE,NA,NA
"Proud of our Champions of Change - folks who prove that, here in America, there's no more powerful role than that o… https://t.co/wbz1YSlUEx",FALSE,49870,NA,12/5/2016 22:46,TRUE,NA,8.05906E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,9872,FALSE,FALSE,NA,NA
"Today, we honor those who are leading the fight against HIV/AIDS. Because of them, an AIDS-free generation is now w… https://t.co/yW9uyfbf1x",FALSE,108353,NA,12/1/2016 15:57,TRUE,NA,8.04354E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,33073,FALSE,FALSE,NA,NA
"This Thanksgiving, we give thanks for our blessings, and work to fulfill the timeless responsibility we have as Americans to serve others.",FALSE,37444,POTUS44,11/24/2016 18:05,FALSE,8.01849E+17,8.01849E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,7848,FALSE,FALSE,NA,NA
The Old Soldiers Home in DC has cared for our nation's veterans for 165 years. I was honored to be a small part of… https://t.co/43ttiaLibI,FALSE,102979,NA,11/24/2016 18:03,TRUE,NA,8.01849E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,20893,FALSE,FALSE,NA,NA
"Happy birthday, Joe! The best @VP and friend I could have had alongside me these past eight years. https://t.co/kWH3L5uSFC",FALSE,667317,NA,11/20/2016 22:40,FALSE,NA,8.00469E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,206065,FALSE,FALSE,NA,NA
One thing I've learned from my time abroad as President: Young people will shape our future long after their leader… https://t.co/bwEltHdPDs,FALSE,79314,NA,11/20/2016 15:17,TRUE,NA,8.00357E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,22815,FALSE,FALSE,NA,NA
"Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom.",FALSE,168556,NA,11/11/2016 17:28,FALSE,NA,7.97129E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,52063,FALSE,FALSE,NA,NA
"Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too.",FALSE,155124,NA,11/8/2016 15:57,FALSE,NA,7.96019E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,58048,FALSE,FALSE,NA,NA
"It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80",FALSE,28060,NA,11/3/2016 23:34,FALSE,NA,7.94322E+17,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",POTUS44,6797,FALSE,FALSE,NA,NA
It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before I leave?,FALSE,278119,NA,11/3/2016 6:03,FALSE,NA,7.94058E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,74367,FALSE,FALSE,NA,NA
"I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW",FALSE,82803,NA,10/23/2016 17:01,FALSE,NA,7.90237E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,20537,FALSE,FALSE,NA,NA
Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Tha… https://t.co/pLBZQWDFin,FALSE,66212,NA,10/21/2016 22:44,TRUE,NA,7.89598E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,13545,FALSE,FALSE,NA,NA
Outstanding 3 for 3 debate sweep for @HillaryClinton! Nobody has ever been more prepared to be @POTUS.,FALSE,87778,NA,10/20/2016 13:31,FALSE,NA,7.89097E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,21433,FALSE,FALSE,NA,NA
"For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending ca… https://t.co/OPPnQIJDl2",FALSE,24921,NA,10/17/2016 19:26,TRUE,NA,7.88099E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,6504,FALSE,FALSE,NA,NA
"For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong.",FALSE,107381,NA,10/16/2016 14:30,FALSE,NA,7.87662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,35691,FALSE,FALSE,NA,NA
"Clearly, we still have more to do to prevent sexual assault and the thinking that leads to it. That starts with us: https://t.co/9PRZB451fS",FALSE,45242,NA,10/14/2016 21:46,FALSE,NA,7.87047E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,16140,FALSE,FALSE,NA,NA
