text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
A great honor to host and welcome leaders from around America to the @WhiteHouse Infrastructure Summit.… https://t.co/5f6cN3HboQ,FALSE,12984,NA,6/9/2017 18:48,TRUE,NA,8.73251E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,2927,FALSE,FALSE,NA,NA
"An honor to join the @FaithandFreedom Coalition yesterday. In America, we don't worship government. We worship God.… https://t.co/1ds8BrzUQe",FALSE,17086,NA,6/9/2017 18:28,TRUE,NA,8.73245E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,4517,FALSE,FALSE,NA,NA
Congratulations to Jeb Hensarling &amp; Republicans on successful House vote to repeal major parts of the 2010 Dodd-Frank financial law. GROWTH!,FALSE,46523,NA,6/9/2017 14:22,FALSE,NA,8.73183E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,10859,FALSE,FALSE,NA,NA
Great reporting by @foxandfriends and so many others. Thank you!,FALSE,65745,NA,6/9/2017 10:54,FALSE,NA,8.73131E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11891,FALSE,FALSE,NA,NA
"Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!",FALSE,99599,NA,6/9/2017 10:10,FALSE,NA,8.7312E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,30400,FALSE,FALSE,NA,NA
"Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare &amp; also Infrastructure!",FALSE,85791,NA,6/7/2017 12:17,FALSE,NA,8.72427E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,16537,FALSE,FALSE,NA,NA
"I will be nominating Christopher A. Wray, a man of impeccable credentials, to be the new Director of the FBI. Details to follow.",FALSE,92043,NA,6/7/2017 11:44,FALSE,NA,8.72419E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,23595,FALSE,FALSE,NA,NA
Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can’t tolerate substandard care for our vets.,FALSE,98945,NA,6/7/2017 1:07,FALSE,NA,8.72259E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,23813,FALSE,FALSE,NA,NA
"#ICYMI: Announcement of Air Traffic Control Initiative 

Watch<U+27A1><U+FE0F>https://t.co/IMiZr22gAw",FALSE,38634,NA,6/7/2017 0:44,FALSE,NA,8.72253E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7168,FALSE,FALSE,NA,NA
"Great meeting with @HouseGOP and @SenateGOP leaders, including @SpeakerRyan, @SenateMajLdr, @GOPLeader, @JohnCornyn… https://t.co/G03W8CEtCS",FALSE,41789,NA,6/7/2017 0:06,TRUE,NA,8.72243E+17,NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",realDonaldTrump,8707,FALSE,FALSE,NA,NA
